Time,Production
1994-09-30,199512.0
1994-10-31,172004.0
1994-11-30,218920.0
1994-12-31,180864.0
1995-01-31,157449.0
1995-02-28,163428.0
1995-03-31,189150.0
1995-04-30,199633.0
1995-05-31,247904.0
1995-06-30,269920.0
1995-07-31,246508.0
1995-08-31,236700.0
1995-09-30,195011.0
1995-10-31,184157.0
1995-11-30,201964.0
1995-12-31,174826.0
1996-01-31,156915.0
1996-02-29,153036.0
1996-03-31,180320.0
1996-04-30,218997.0
1996-05-31,231470.0
1996-06-30,248447.0
1996-07-31,240374.0
1996-08-31,222414.0
1996-09-30,194283.0
1996-10-31,187258.0
1996-11-30,185005.0
1996-12-31,183358.0
1997-01-31,149761.0
1997-02-28,147076.0
1997-03-31,155939.0
1997-04-30,224157.0
1997-05-31,212164.0
1997-06-30,252944.0
1997-07-31,253041.0
1997-08-31,215676.0
1997-09-30,192784.0
1997-10-31,178104.0
1997-11-30,176424.0
1997-12-31,202297.0
1998-01-31,150729.0
1998-02-28,158000.0
1998-03-31,188536.0
1998-04-30,210274.0
1998-05-31,237377.0
1998-06-30,246668.0
1998-07-31,255651.0
1998-08-31,217181.0
1998-09-30,202362.0
1998-10-31,181546.0
1998-11-30,185282.0
1998-12-31,201611.0
1999-01-31,142973.0
1999-02-28,149605.0
1999-03-31,191650.0
1999-04-30,214791.0
1999-05-31,228365.0
1999-06-30,267134.0
1999-07-31,248982.0
1999-08-31,232841.0
1999-09-30,203622.0
1999-10-31,181163.0
1999-11-30,196422.0
1999-12-31,202992.0
2000-01-31,145447.0
2000-02-29,165668.0
2000-03-31,202246.0
2000-04-30,210239.0
2000-05-31,250669.0
2000-06-30,255915.0
2000-07-31,234896.0
2000-08-31,244266.0
2000-09-30,161434.0
2000-10-31,192669.0
2000-11-30,198218.0
2000-12-31,189791.0
2001-01-31,161491.0
2001-02-28,161119.0
2001-03-31,192426.0
2001-04-30,227121.0
2001-05-31,248965.0
2001-06-30,270795.0
2001-07-31,251163.0
2001-08-31,246257.0
2001-09-30,199372.0
2001-10-31,202811.0
2001-11-30,213465.0
2001-12-31,200865.0
2002-01-31,160713.0
2002-02-28,172025.0
2002-03-31,184556.0
2002-04-30,245032.0
2002-05-31,238816.0
2002-06-30,235014.0
2002-07-31,263164.0
2002-08-31,247902.0
2002-09-30,201626.0
2002-10-31,203349.0
2002-11-30,203863.0
2002-12-31,200646.0
2003-01-31,157234.0
2003-02-28,158725.0
2003-03-31,189165.0
2003-04-30,232492.0
2003-05-31,217749.0
2003-06-30,210109.0
2003-07-31,257106.0
2003-08-31,165374.0
2003-09-30,192105.0
2003-10-31,137381.0
2003-11-30,129903.0
2003-12-31,128012.0
